0,backgroundcolor,0,0,0,,,,,
0,sanstext,...,,,,,,,
0,BlackScreen,1,,,,,,,
0,sound,flash,,,,,,,
0,sansx,999,,,,,,,,
0,CombatZoneResize,290,251,351,391,,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0.2,BlackScreen,0,,,,,,,
0.4,BoneStab,1,40,0.4,0.4,,,,
0,BoneStab,3,60,0.4,0.4,,,,
1,BoneVRepeat,128,256,95,0,180,2,120,
0,BoneVRepeat,117,256,95,0,180,2,120,
0,BoneVRepeat,503,256,95,2,180,2,120,
0,BoneVRepeat,514,256,95,2,180,2,120,
0,BoneVRepeat,128,366,20,0,180,2,120,
0,BoneVRepeat,117,366,20,0,180,2,120,
0,BoneVRepeat,503,366,20,2,180,2,120,
0,BoneVRepeat,514,366,20,2,180,2,120,
2,CombatZoneResize,290,151,351,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,TLPause,,,,,,,,
0,HeartMode,0,,,,,,,
0,sound,ding,,,,,,,
0,BONE,290,151,80,90,70,0,0,45
0,BONE,351,101,80,90,70,0,0,315
0,BONE,290,51,80,90,70,0,0,45
0,BONE,351,1,80,90,70,0,0,315
0,BONE,290,-50,80,90,70,0,0,45
0,BONE,351,-100,80,90,70,0,0,315
0,BONE,290,-150,80,90,70,0,0,45
0,BONE,351,-200,80,90,70,0,0,315
0,BONE,290,-250,80,90,70,0,0,45
0,BONE,351,-300,80,90,70,0,0,315
0,BONE,290,-350,80,90,70,0,0,45
0,BONE,351,-400,80,90,70,0,0,315
0,BONE,290,-450,80,90,70,0,0,45
0,BONE,351,-500,80,90,70,0,0,315
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,


0,BoneHRepeat,295,405,50,3,20,18,10,
2,DUST2,,,,,,,,
0,sound,falsh,,,,,,,
2,DUST1,,,,,,,,
0,sound,falsh,,,,,,,
2,DUST2,,,,,,,,
0,sound,falsh,,,,,,,
2,DUST1,,,,,,,,
0,sound,falsh,,,,,,,

,,,,,,,,,
,,,,,,,,,
2,EndAttack,,,,,,,,
