0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,300,356,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,sanstext,...,,,,,,,
0,BlackScreen,1,,,,,,,
0,sound,flash,,,,,,,
0,sansx,999,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,bone,320,304,170,0,0,0,0,0
0,bone,320,304,170,0,0,0,0,90
0.4,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,bone,320,304,190,0,0,100,0,0
0,bone,320,304,190,0,0,100,0,90

0.8,SET,Loop,4,,,,,,
0,SUB,Loop,$Loop,1,,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,³õÊ¼×ø±êx,640,,,,,,
0,rnd,³õÊ¼×ø±êy,480,,,,,,
0,rnd,×îÖÕ×ø±êx,640,,,,,,
0,rnd,×îÖÕ×ø±êy,480,,,,,,
0,ANGLE,Ang,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$HeartX,$HeartY,,,
0,gasterblaster,0,$³õÊ¼×ø±êx,$³õÊ¼×ø±êy,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$Ang,0.4,0.2
1.2,dust2,,,,,,,,
1.8,dust1,,,,,,,,
,,,,,,,,,
2,JMPNZ,18,$Loop,,,,,,
0,EndAttack,,,,,,,,
