0,CombatZoneResize,241,226,406,391,TLResume,
0,HeartTeleport,320,304,,,,
0,HeartMode,0,,,,,
0,TLPause,,,,,,
0,sanstext,...,,,,,
0,BlackScreen,1,,,,,
0,sound,flash,,,,,
0,sansx,999,,,,,
0.2,BlackScreen,0,,,,,
0,boneh,0,0,640,0,0,4
0,boneh,0,470,640,0,0,4
0,bonev,0,0,480,0,0,4
0,bonev,630,0,480,0,0,4
0,SET,Loop,120,,,,
0,SUB,Loop,$Loop,1,,,
0,GetHeartPos,HeartX,HeartY,,,,
0,ADD,a,$HeartX,82.5,,,
0,SUB,b,$HeartX,82.5,,,
0,ADD,c,$HeartY,82.5,,,
0,SUB,d,$HeartY,82.5,,,
0,CombatZoneResize,$b,$d,$a,$c,,
0,CombatZoneSpeed,150,,,,,
0,rnd,sb,640,,,,
0,bonev,$sb,-10,15,1,60,
0,rnd,cnm,640,,,,
0,bonev,$cnm,490,15,3,60,
0,rnd,nmsl,480,,,,
0,boneh,-10,$nmsl,15,0,60,
0,rnd,wdnmb,480,,,,
0,boneh,650,$wdnmb,15,2,60,
0.12,JMPNZ,15,$Loop,,,,
0,EndAttack,,,,,,
