0,CombatZoneResize,133,271,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,sanstext,...,,,,,,,
0,BlackScreen,1,,,,,,,
0,sound,flash,,,,,,,
0,sansx,999,,,,,,,
0.2,BlackScreen,0,,,,,,,

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,dust2,,,,,,,,
0,sound,falsh,,,,,,,
0,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0,dust1,,,,,,,,
0,sound,falsh,,,,,,,
,,,,,,,,,
0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0,dust2,,,,,,,,
0,sound,falsh,,,,,,,
0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0.8,bone,-55,366,50,0,180,0,0,45
0,bone,695,366,50,180,180,0,0,135
0,bone,0,301,50,0,180,0,0,45
0,bone,640,301,50,180,180,0,0,135

0,dust1,,,,,,,,
0,sound,falsh,,,,,,,
2,EndAttack,,,,,,,,
